head_pitch,head_yaw,movement_velocity,movement_acceleration,nod_count,nod_frequency,nod_duration,inter_nod_interval,total_movement,label
0.508,0.012,0.075,0.142,1,10.0,480.0,5200.0,0.115,GENUINE
0.514,-0.008,0.082,0.155,2,20.0,460.0,4400.0,0.138,GENUINE
0.505,0.005,0.068,0.130,1,10.0,510.0,5600.0,0.098,GENUINE
0.511,-0.015,0.089,0.168,2,20.0,440.0,4100.0,0.145,GENUINE
0.502,0.009,0.071,0.138,1,10.0,490.0,5400.0,0.108,GENUINE
0.518,-0.003,0.084,0.160,2,20.0,450.0,4300.0,0.132,GENUINE
0.507,0.014,0.076,0.145,1,10.0,475.0,5100.0,0.119,GENUINE
0.512,-0.011,0.091,0.172,2,20.0,435.0,3950.0,0.150,GENUINE
0.504,0.002,0.065,0.125,1,10.0,520.0,5800.0,0.092,GENUINE
0.515,-0.007,0.086,0.162,2,20.0,455.0,4200.0,0.135,GENUINE
0.522,0.022,0.135,0.270,3,30.0,380.0,2200.0,0.210,POLITE
0.528,-0.018,0.148,0.295,4,40.0,360.0,1850.0,0.245,POLITE
0.520,0.015,0.128,0.255,3,30.0,395.0,2350.0,0.198,POLITE
0.525,-0.024,0.152,0.310,4,40.0,350.0,1780.0,0.258,POLITE
0.519,0.019,0.132,0.265,3,30.0,385.0,2280.0,0.205,POLITE
0.530,-0.014,0.155,0.315,4,40.0,345.0,1720.0,0.265,POLITE
0.523,0.025,0.140,0.280,3,30.0,375.0,2150.0,0.220,POLITE
0.526,-0.020,0.145,0.290,4,40.0,355.0,1810.0,0.240,POLITE
0.521,0.016,0.130,0.260,3,30.0,390.0,2300.0,0.202,POLITE
0.529,-0.022,0.150,0.305,4,40.0,348.0,1750.0,0.252,POLITE
0.548,0.038,0.315,0.630,6,60.0,260.0,1100.0,0.440,DANGER
0.555,-0.032,0.345,0.690,7,70.0,235.0,920.0,0.485,DANGER
0.542,0.042,0.295,0.590,5,50.0,280.0,1250.0,0.405,DANGER
0.558,-0.035,0.360,0.720,7,70.0,225.0,880.0,0.510,DANGER
0.545,0.036,0.308,0.615,6,60.0,265.0,1120.0,0.428,DANGER
0.552,-0.040,0.338,0.675,6,60.0,245.0,980.0,0.470,DANGER
0.544,0.045,0.300,0.600,5,50.0,275.0,1210.0,0.415,DANGER
0.556,-0.028,0.350,0.700,7,70.0,230.0,900.0,0.495,DANGER
0.546,0.034,0.312,0.625,6,60.0,258.0,1080.0,0.435,DANGER
0.550,-0.038,0.330,0.660,6,60.0,250.0,1020.0,0.460,DANGER
0.575,0.065,0.590,1.180,9,90.0,180.0,580.0,0.810,SURVIVAL
0.588,-0.072,0.660,1.320,11,110.0,155.0,460.0,0.920,SURVIVAL
0.568,0.058,0.540,1.080,8,80.0,195.0,650.0,0.740,SURVIVAL
0.595,-0.080,0.710,1.420,12,120.0,145.0,410.0,0.980,SURVIVAL
0.572,0.062,0.575,1.150,9,90.0,185.0,600.0,0.790,SURVIVAL
0.584,-0.075,0.640,1.280,10,100.0,165.0,510.0,0.880,SURVIVAL
0.570,0.068,0.560,1.120,8,80.0,190.0,640.0,0.765,SURVIVAL
0.590,-0.085,0.680,1.360,11,110.0,150.0,440.0,0.945,SURVIVAL
0.578,0.060,0.605,1.210,9,90.0,175.0,560.0,0.830,SURVIVAL
0.582,-0.078,0.625,1.250,10,100.0,168.0,525.0,0.865,SURVIVAL
